ip,requests_per_min,endpoint_variety,error_rate,avg_time_between_reqs,single_endpoint_ratio,user_agent_variety,is_attack,attack_type
10.0.1.1,0.1324,6,0.1429,528.867,0.2857,2,0,normal
10.0.1.10,0.2209,9,0.0769,294.2345,0.2308,1,0,normal
10.0.1.100,0.5517,11,0.1154,113.0996,0.1923,1,0,normal
10.0.1.101,0.211,4,0.1667,341.291,0.5,2,0,normal
10.0.1.102,0.6129,11,0.0385,101.8152,0.1923,2,0,normal
10.0.1.103,0.3383,11,0.15,186.7115,0.2,1,0,normal
10.0.1.104,0.2088,8,0.0,316.0393,0.1818,2,0,normal
10.0.1.105,0.2883,8,0.1333,223.0174,0.2,2,0,normal
10.0.1.106,0.2827,10,0.0714,228.5484,0.2857,1,0,normal
10.0.1.107,0.239,7,0.1,278.9222,0.3,2,0,normal
10.0.1.108,0.2756,9,0.0,234.4456,0.2143,2,0,normal
10.0.1.109,0.5094,11,0.1429,122.1457,0.1786,1,0,normal
10.0.1.11,0.3328,10,0.0588,191.5748,0.1765,2,0,normal
10.0.1.110,0.3072,8,0.1875,208.315,0.3125,1,0,normal
10.0.1.111,0.5116,11,0.1379,121.4691,0.1379,1,0,normal
10.0.1.112,0.3751,9,0.1905,167.9343,0.2381,2,0,normal
10.0.1.113,0.3757,9,0.1667,169.1015,0.1667,2,0,normal
10.0.1.114,0.1212,5,0.0,618.6218,0.2,1,0,normal
10.0.1.115,0.4651,12,0.0909,135.1347,0.1364,1,0,normal
10.0.1.116,0.4371,9,0.12,142.9835,0.32,2,0,normal
10.0.1.117,0.5041,11,0.1724,123.2649,0.1724,2,0,normal
10.0.1.118,0.3173,9,0.0556,200.249,0.2222,2,0,normal
10.0.1.119,0.4093,9,0.1579,154.7403,0.1579,2,0,normal
10.0.1.12,0.5424,11,0.1034,114.5745,0.1724,1,0,normal
10.0.1.120,0.3361,12,0.1579,188.4592,0.1579,1,0,normal
10.0.1.121,0.1843,6,0.2857,379.7493,0.2857,1,0,normal
10.0.1.122,0.4542,9,0.125,137.8581,0.25,1,0,normal
10.0.1.123,0.4693,11,0.037,132.7565,0.1481,1,0,normal
10.0.1.124,0.3674,12,0.2105,172.3926,0.1579,2,0,normal
10.0.1.125,0.353,8,0.05,178.9334,0.2,1,0,normal
10.0.1.126,0.3063,9,0.0,208.1565,0.2353,1,0,normal
10.0.1.127,0.3471,11,0.0556,183.0445,0.1667,1,0,normal
10.0.1.128,0.2394,6,0.25,286.4277,0.375,1,0,normal
10.0.1.129,0.3734,10,0.1,169.1434,0.2,1,0,normal
10.0.1.13,0.5381,12,0.1333,115.343,0.1333,1,0,normal
10.0.1.130,0.5234,10,0.1538,119.2166,0.2692,2,0,normal
10.0.1.131,0.2766,10,0.0625,231.3828,0.1875,2,0,normal
10.0.1.132,0.4019,11,0.1053,157.6025,0.1579,2,0,normal
10.0.1.133,0.1995,5,0.0,343.6746,0.375,2,0,normal
10.0.1.134,0.5231,12,0.2333,118.6572,0.1667,2,0,normal
10.0.1.135,0.3772,9,0.0,167.0149,0.2381,2,0,normal
10.0.1.136,0.4742,11,0.1852,131.3985,0.2222,2,0,normal
10.0.1.137,0.2065,4,0.1667,348.5884,0.3333,2,0,normal
10.0.1.138,0.4798,9,0.1154,130.0614,0.2308,2,0,normal
10.0.1.139,0.4787,11,0.12,130.5624,0.12,2,0,normal
10.0.1.14,0.4835,12,0.08,129.2531,0.2,2,0,normal
10.0.1.140,0.2874,9,0.0667,223.7054,0.2,1,0,normal
10.0.1.141,0.3503,9,0.0,183.5197,0.2667,1,0,normal
10.0.1.142,0.5043,12,0.0,123.3717,0.1786,1,0,normal
10.0.1.143,0.4714,11,0.0714,131.9859,0.1429,1,0,normal
10.0.1.144,0.395,9,0.087,158.8016,0.1739,1,0,normal
10.0.1.145,0.1725,5,0.0,397.5221,0.375,2,0,normal
10.0.1.146,0.3663,10,0.1053,172.9126,0.2105,1,0,normal
10.0.1.147,0.175,4,0.0,411.4833,0.5,1,0,normal
10.0.1.148,0.4347,10,0.0833,144.0147,0.1667,2,0,normal
10.0.1.149,0.291,8,0.0909,226.8078,0.1818,1,0,normal
10.0.1.15,0.4875,12,0.1481,127.8209,0.1481,2,0,normal
10.0.1.150,0.1527,6,0.0,449.1008,0.25,2,0,normal
10.0.1.151,0.2687,9,0.0,238.1564,0.1875,1,0,normal
10.0.1.152,0.5122,12,0.1333,121.1835,0.1667,2,0,normal
10.0.1.153,0.4093,9,0.1364,153.5715,0.1818,1,0,normal
10.0.1.154,0.4729,11,0.1538,131.9579,0.1538,2,0,normal
10.0.1.155,0.5395,10,0.069,115.1881,0.1724,2,0,normal
10.0.1.156,0.398,12,0.1739,157.6256,0.1304,1,0,normal
10.0.1.157,0.4104,11,0.1304,152.8401,0.1739,1,0,normal
10.0.1.158,0.2691,7,0.0769,241.5554,0.2308,2,0,normal
10.0.1.159,0.3502,10,0.2632,180.8454,0.2105,1,0,normal
10.0.1.16,0.4887,10,0.0357,127.3302,0.25,2,0,normal
10.0.1.160,0.5653,11,0.1071,110.0609,0.1429,2,0,normal
10.0.1.161,0.1971,7,0.0,338.2984,0.3,1,0,normal
10.0.1.162,0.4643,11,0.08,134.6086,0.16,1,0,normal
10.0.1.163,0.349,11,0.05,180.9628,0.2,1,0,normal
10.0.1.164,0.3776,11,0.1,167.2666,0.15,2,0,normal
10.0.1.165,0.2189,10,0.0769,296.9542,0.2308,1,0,normal
10.0.1.166,0.2147,7,0.0,319.3125,0.25,2,0,normal
10.0.1.167,0.393,11,0.0,161.6444,0.2222,2,0,normal
10.0.1.168,0.4224,10,0.125,148.2313,0.25,2,0,normal
10.0.1.169,0.2374,9,0.0909,278.0509,0.1818,1,0,normal
10.0.1.17,0.3501,10,0.0526,180.8812,0.1579,2,0,normal
10.0.1.170,0.377,9,0.1,167.5355,0.25,2,0,normal
