ip,timestamp,endpoint,status_code,response_time_ms,user_agent,is_attack,attack_type
192.168.1.5,2025-05-12 10:00:00.000000,/auth/login,401,52,custom-bot/1.0,1,bruteforce
192.168.1.5,2025-05-12 10:00:00.000000,/auth/login,401,28,custom-bot/1.0,1,bruteforce
192.168.1.5,2025-05-12 10:00:00.000000,/auth/login,200,29,custom-bot/1.0,1,bruteforce
10.0.1.91,2025-05-12 10:00:01.500901,/api/keys,200,239,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
10.0.1.142,2025-05-12 10:00:02.055803,/security/rate-limits,200,82,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.1.1.8,2025-05-12 10:00:02.484630,/docs,200,111,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.0.1.156,2025-05-12 10:00:03.737366,/docs,200,269,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.13,2025-05-12 10:00:04.439025,/analytics/requests,200,210,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.144,2025-05-12 10:00:04.585487,/security/rate-limits,200,154,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
10.0.1.103,2025-05-12 10:00:04.643800,/security/rate-limits,200,263,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
192.168.1.5,2025-05-12 10:00:04.856884,/auth/login,401,42,custom-bot/1.0,1,bruteforce
10.0.1.168,2025-05-12 10:00:05.655783,/analytics/requests,200,118,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
10.0.1.13,2025-05-12 10:00:05.978548,/auth/register,200,38,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.58,2025-05-12 10:00:06.946948,/security/rate-limits,200,61,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.64,2025-05-12 10:00:08.046737,/api/keys/generate,200,60,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
10.0.1.176,2025-05-12 10:00:09.411685,/auth/register,200,136,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/121.0,0,normal
172.16.1.2,2025-05-12 10:00:10.833824,/auth/login,200,46,python-requests/2.31.0,1,scraper
172.16.1.7,2025-05-12 10:00:11.334244,/auth/login,404,78,curl/7.88.1,1,scraper
10.0.1.77,2025-05-12 10:00:11.547686,/security/blocked-ips,200,154,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,0,normal
192.168.1.5,2025-05-12 10:00:11.856976,/auth/login,401,44,custom-bot/1.0,1,bruteforce
10.1.1.4,2025-05-12 10:00:13.389930,/security/blocked-ips,200,159,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
10.0.1.165,2025-05-12 10:00:13.472742,/users/profile,200,169,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
172.16.1.10,2025-05-12 10:00:13.762609,/auth/login,403,41,axios/1.6.2,1,scraper
172.16.1.15,2025-05-12 10:00:13.857038,/auth/login,200,61,curl/7.88.1,1,scraper
10.1.1.17,2025-05-12 10:00:14.125630,/api/keys,200,140,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.151,2025-05-12 10:00:14.192397,/auth/register,200,212,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
172.16.1.13,2025-05-12 10:00:15.389954,/auth/login,200,50,curl/7.88.1,1,scraper
192.168.1.5,2025-05-12 10:00:15.858916,/auth/login,401,31,custom-bot/1.0,1,bruteforce
10.0.1.143,2025-05-12 10:00:16.018339,/docs,200,162,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.12,2025-05-12 10:00:16.200450,/auth/register,200,191,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,0,normal
172.16.1.5,2025-05-12 10:00:17.376488,/auth/login,200,54,curl/7.88.1,1,scraper
10.1.1.18,2025-05-12 10:00:17.580384,/analytics/summary,200,117,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
172.16.1.12,2025-05-12 10:00:18.651608,/auth/login,200,48,curl/7.88.1,1,scraper
10.0.1.163,2025-05-12 10:00:19.069494,/auth/login,201,216,Mozilla/5.0 (Linux; Android 14) Chrome/120.0.0.0 Mobile,0,normal
10.0.1.8,2025-05-12 10:00:19.547403,/auth/register,200,194,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
10.0.1.103,2025-05-12 10:00:19.804227,/auth/register,200,72,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148,0,normal
